country;year;gdp;population;directContributionToGdpDollars;departuresWW;employmentNumberJobs;expendituresDollars;receiptsDollars;arrivalsWW;netOccupancyRate;percentageContributionGdp
Lithuania      ;2007; 39788000000.0;3231294; 865704000.0;1661000; 34730;1144000000;1154000000;1486000;-1; 2.176
Lithuania      ;2008; 48125000000.0;3198231; 709963000.0;1757000; 27598;1530000000;1248000000;1611000;-1; 1.475
Lithuania      ;2009; 37533000000.0;3162916; 688588000.0;1288000; 28736;1119000000;972000000;1341000;-1; 1.835
Lithuania      ;2010; 37201000000.0;3097282; 512175000.0;1411000; 20096;849000000;958000000;1507000;-1; 1.377
Lithuania      ;2011; 43547000000.0;3028115; 545375000.0;1526000; 20585;859000000;1321000000;1775000;-1; 1.252
Lithuania      ;2012; 42870000000.0;2987773; 608566000.0;1708000; 20696;925000000;1317000000;1900000;35; 1.42
Lithuania      ;2013; 46426000000.0;2957689; 637201000.0;1764000; 21036;1069000000;1374000000;2012000;36.8; 1.373
Lithuania      ;2014; 48468000000.0;2932367; 651770000.0;1789000; 21487;1058000000;1383000000;2063000;37.1; 1.345
Lithuania      ;2015; 41193000000.0;2910199; 674386000.0;-1; 22553;-1;-1;-1;-1; 1.637
Lithuania      ;2016; 42776000000.0;-1; 686503000.0;-1; 22779;-1;-1;-1;-1; 1.605
Luxembourg     ;2000; 21438000000.0;436300; 882116000.0;263000; 5755;1309000000;1686000000;852000;-1; 4.115
Luxembourg     ;2001; 21070000000.0;441525; 882952000.0;261000; 5368;1464000000;1780000000;836000;-1; 4.191
Luxembourg     ;2002; 23391000000.0;446175; 698592000.0;-1; 4208;1963000000;2547000000;885000;-1; 2.987
Luxembourg     ;2003; 29263000000.0;451630; 703319000.0;-1; 4192;2445000000;3149000000;867000;-1; 2.403
Luxembourg     ;2004; 34390000000.0;458095; 804335000.0;-1; 4785;2950000000;3880000000;878000;-1; 2.339
Luxembourg     ;2005; 37041000000.0;465158; 824832000.0;-1; 4903;2959000000;3517000000;913000;-1; 2.227
Luxembourg     ;2006; 41950000000.0;472637; 899123000.0;-1; 5532;3004000000;3518000000;908000;-1; 2.143
Luxembourg     ;2007; 50393000000.0;479993; 998545000.0;-1; 5605;3410000000;3991000000;914000;-1; 1.982
Luxembourg     ;2008; 55406000000.0;488650; 1038140000.0;-1; 5919;3772000000;4500000000;877000;-1; 1.874
Luxembourg     ;2009; 50514000000.0;497783; 987522000.0;-1; 6174;3594000000;4182000000;847000;-1; 1.955
Luxembourg     ;2010; 52445000000.0;506953; 1004040000.0;1507000; 5857;3691000000;4559000000;805000;-1; 1.914
Luxembourg     ;2011; 58755000000.0;518347; 1040900000.0;1642000; 5934;3638000000;4987000000;870000;-1; 1.772
Luxembourg     ;2012; 56018000000.0;530946; 978028000.0;1580000; 5757;3781000000;5273000000;950000;30.6; 1.746
Luxembourg     ;2013; 61814000000.0;543360; 992953000.0;1624000; 5918;4023000000;5652000000;945000;31.8; 1.606
Luxembourg     ;2014; 64977000000.0;556319; 1040970000.0;1516000; 5932;3608000000;5488000000;1038000;35.1; 1.602
Luxembourg     ;2015; 57825000000.0;569676; 1030510000.0;-1; 6084;-1;-1;-1;-1; 1.782
Luxembourg     ;2016; 60984000000.0;-1; 1064930000.0;-1; 6217;-1;-1;-1;-1; 1.746
Malta          ;2000; 4059000000.0;381363; 936979000.0;200000; 21999;224000000;731000000;1216000;-1; 23.084
Malta          ;2001; 4067000000.0;393028; 929202000.0;179000; 22622;204000000;704000000;1180000;-1; 22.847
Malta          ;2002; 4475000000.0;395969; 956558000.0;157000; 22655;180000000;757000000;1134000;-1; 21.376
Malta          ;2003; 5423000000.0;398582; 930319000.0;174000; 21486;238000000;869000000;1127000;-1; 17.155
Malta          ;2004; 6049000000.0;401268; 916185000.0;203000; 21059;291000000;949000000;1156000;-1; 15.146
Malta          ;2005; 6402000000.0;403834; 893812000.0;225000; 20357;311000000;924000000;1171000;-1; 13.961
Malta          ;2006; 6786000000.0;405308; 915575000.0;257000; 20600;362000000;966000000;1124000;-1; 13.492
Malta          ;2007; 7944000000.0;406724; 996920000.0;280000; 22110;284000000;1185000000;1244000;-1; 12.549
Malta          ;2008; 9020000000.0;409379; 1026930000.0;261000; 22734;307000000;1082000000;1291000;-1; 11.385
Malta          ;2009; 8550000000.0;412477; 900388000.0;264000; 20403;291000000;899000000;1182000;-1; 10.531
Malta          ;2010; 8757000000.0;414508; 992929000.0;294000; 21989;309000000;1066000000;1339000;-1; 11.339
Malta          ;2011; 9566000000.0;416268; 1092830000.0;309000; 24529;333000000;1276000000;1415000;-1; 11.424
Malta          ;2012; 9267000000.0;419455; 1181920000.0;331000; 26102;339000000;1260000000;1443000;57.6; 12.754
Malta          ;2013; 10189000000.0;423374; 1206460000.0;363000; 26692;384000000;1402000000;1582000;60.5; 11.841
Malta          ;2014; 10754000000.0;427364; 1293170000.0;391000; 27835;397000000;1521000000;1690000;63.8; 12.025
Malta          ;2015; 9752000000.0;431333; 1397390000.0;-1; 29207;-1;-1;-1;-1; 14.329
Malta          ;2016; 10463000000.0;-1; 1468990000.0;-1; 29971;-1;-1;-1;-1; 14.04
Netherlands    ;2000; 414018000000.0;15925513; 15862800000.0;13896000; 571860;13649000000;11285000000;10003000;-1; 3.831
Netherlands    ;2001; 426940000000.0;16046180; 15867800000.0;14214000; 566298;13061000000;11147000000;9500000;-1; 3.717
Netherlands    ;2002; 467016000000.0;16148929; 15590200000.0;16719000; 543645;14201000000;11745000000;9595000;-1; 3.338
Netherlands    ;2003; 572958000000.0;16225302; 15848700000.0;16425000; 570095;15887000000;14603000000;9181000;-1; 2.766
Netherlands    ;2004; 651416000000.0;16281779; 16065600000.0;17130000; 572532;16937000000;16495000000;9646000;-1; 2.466
Netherlands    ;2005; 679695000000.0;16319868; 14818300000.0;17039000; 521112;13724000000;8770000000;10012000;-1; 2.18
Netherlands    ;2006; 727287000000.0;16346101; 14935200000.0;16695000; 519460;14588000000;9273000000;10739000;-1; 2.054
Netherlands    ;2007; 840583000000.0;16381696; 15106900000.0;17523000; 523835;17277000000;11313000000;11008000;-1; 1.797
Netherlands    ;2008; 940665000000.0;16445593; 14501800000.0;18399000; 528470;19805000000;12874000000;10104000;-1; 1.542
Netherlands    ;2009; 860108000000.0;16530388; 13035700000.0;18340000; 478585;18628000000;12063000000;9921000;-1; 1.516
Netherlands    ;2010; 837949000000.0;16615394; 12489300000.0;18368000; 455385;19044000000;11653000000;10883000;-1; 1.49
Netherlands    ;2011; 894576000000.0;16693074; 12662300000.0;18560000; 448083;20741000000;12897000000;11300000;-1; 1.415
Netherlands    ;2012; 829406000000.0;16754962; 12409700000.0;18628000; 444050;19678000000;12261000000;11680000;42.3; 1.496
Netherlands    ;2013; 866951000000.0;16804432; 12755100000.0;18094000; 424239;20355000000;13751000000;12783000;42.8; 1.471
Netherlands    ;2014; 881033000000.0;16865008; 13278600000.0;17928000; 422525;21390000000;14682000000;13925000;44.2; 1.507
Netherlands    ;2015; 750696000000.0;16936520; 13861000000.0;-1; 434833;-1;-1;-1;-1; 1.846
Netherlands    ;2016; 769930000000.0;-1; 14647200000.0;-1; 451300;-1;-1;-1;-1; 1.902
Poland         ;2000; 171276000000.0;38258629; 7420110000.0;56677000; 371492;3417000000;6128000000;17400000;-1; 4.332
Poland         ;2001; 190430000000.0;38248076; 5979650000.0;53122000; 288313;3595000000;5121000000;15000000;-1; 3.14
Poland         ;2002; 198679000000.0;38230364; 5854570000.0;45043000; 267182;3440000000;4971000000;13980000;-1; 2.947
Poland         ;2003; 217514000000.0;38204570; 5484890000.0;38730000; 239906;3286000000;4733000000;13720000;-1; 2.522
Poland         ;2004; 253709000000.0;38182222; 6089780000.0;37226000; 258175;5092000000;6499000000;14290000;-1; 2.4
Poland         ;2005; 304430000000.0;38165445; 6035440000.0;40841000; 253785;5894000000;7128000000;15200000;-1; 1.983
Poland         ;2006; 343272000000.0;38141267; 6409120000.0;44696000; 265228;7654000000;8122000000;15670000;-1; 1.867
Poland         ;2007; 429172000000.0;38120560; 7241830000.0;47561000; 295366;8342000000;11686000000;14975000;-1; 1.687
Poland         ;2008; 530170000000.0;38125759; 6709200000.0;50243000; 273322;10689000000;12895000000;12960000;-1; 1.265
Poland         ;2009; 436817000000.0;38151603; 6785650000.0;39270000; 275512;7891000000;9889000000;11890000;-1; 1.553
Poland         ;2010; 479082000000.0;38042794; 6720460000.0;42760000; 266073;9100000000;10037000000;12470000;-1; 1.403
Poland         ;2011; 528481000000.0;38063255; 7142850000.0;43270000; 268303;8882000000;11649000000;13350000;-1; 1.352
Poland         ;2012; 500713000000.0;38063164; 7664020000.0;48290000; 277861;9129000000;11888000000;14840000;33.1; 1.531
Poland         ;2013; 524223000000.0;38040196; 7868800000.0;52580000; 277776;9132000000;12432000000;15800000;33.7; 1.501
Poland         ;2014; 544877000000.0;38011735; 7728280000.0;56000000; 269958;9540000000;12311000000;16000000;34.7; 1.418
Poland         ;2015; 474775000000.0;37999494; 7999070000.0;-1; 275365;-1;-1;-1;-1; 1.685
Poland         ;2016; 467350000000.0;-1; 8236840000.0;-1; 277834;-1;-1;-1;-1; 1.762
Portugal       ;2000; 118706000000.0;10289898; 11164800000.0;-1; 342648;2754000000;6027000000;5599000;-1; 9.405
Portugal       ;2001; 121650000000.0;10362722; 11026000000.0;-1; 348793;2606000000;6236000000;5392000;-1; 9.064
Portugal       ;2002; 134704000000.0;10419631; 10467100000.0;-1; 334995;2631000000;6595000000;5560000;-1; 7.77
Portugal       ;2003; 165280000000.0;10458821; 9717910000.0;-1; 320778;2982000000;7634000000;6383000;-1; 5.88
Portugal       ;2004; 189444000000.0;10483861; 9818180000.0;17141000; 313664;3369000000;8858000000;5654000;-1; 5.183
Portugal       ;2005; 197642000000.0;10503330; 9496880000.0;18110000; 311243;3742000000;9042000000;5769000;-1; 4.805
Portugal       ;2006; 208750000000.0;10522288; 9774680000.0;18378000; 315578;4146000000;10482000000;6349000;-1; 4.682
Portugal       ;2007; 240502000000.0;10542964; 10345500000.0;20989000; 322304;4866000000;12948000000;6788000;-1; 4.302
Portugal       ;2008; 263249000000.0;10558177; 10206000000.0;-1; 320953;5286000000;14072000000;6962000;-1; 3.877
Portugal       ;2009; 244364000000.0;10568247; 9428890000.0;-1; 309997;4605000000;12344000000;6439000;-1; 3.859
Portugal       ;2010; 238748000000.0;10573100; 10033100000.0;-1; 316611;4692000000;12985000000;6756000;-1; 4.202
Portugal       ;2011; 245120000000.0;10557560; 10611600000.0;-1; 323590;4948000000;14901000000;7264000;-1; 4.329
Portugal       ;2012; 216488000000.0;10514844; 10842100000.0;1361000; 324890;4485000000;14582000000;7503000;39.5; 5.008
Portugal       ;2013; 226144000000.0;10457295; 11187500000.0;1329000; 317454;4976000000;16210000000;8097000;39.8; 4.947
Portugal       ;2014; 230483000000.0;10401062; 11967100000.0;-1; 344977;5391000000;17784000000;9092000;42.4; 5.192
Portugal       ;2015; 199032000000.0;10348648; 12562700000.0;-1; 362797;-1;-1;-1;-1; 6.312
Portugal       ;2016; 205860000000.0;-1; 13019400000.0;-1; 379664;-1;-1;-1;-1; 6.324
Romania        ;2000; 37466000000.0;22442971; 1177230000.0;6388000; 153035;447000000;394000000;5264000;-1; 3.142
Romania        ;2001; 40717000000.0;22131970; 1257690000.0;6408000; 152949;475000000;419000000;4938000;-1; 3.089
Romania        ;2002; 46174000000.0;21730496; 1260150000.0;5757000; 147462;448000000;400000000;4794000;-1; 2.729
Romania        ;2003; 59868000000.0;21574326; 1498440000.0;6497000; 173285;572000000;523000000;5595000;-1; 2.503
Romania        ;2004; 76217000000.0;21451748; 1699370000.0;6972000; 186277;672000000;607000000;6600000;-1; 2.23
Romania        ;2005; 99699000000.0;21319685; 2515440000.0;7140000; 244316;1073000000;1325000000;5839000;-1; 2.523
Romania        ;2006; 123534000000.0;21193760; 2047340000.0;8906000; 201259;1459000000;1676000000;6037000;-1; 1.657
Romania        ;2007; 171679000000.0;20882982; 2163120000.0;10980000; 201028;1725000000;2073000000;7722000;-1; 1.26
Romania        ;2008; 209664000000.0;20537875; 2293120000.0;13072000; 200651;2409000000;2625000000;8862000;-1; 1.094
Romania        ;2009; 168036000000.0;20367487; 1954740000.0;11723000; 184189;1769000000;1687000000;7575000;-1; 1.163
Romania        ;2010; 167986000000.0;20246871; 1846100000.0;10905000; 175802;1896000000;1631000000;7498000;-1; 1.099
Romania        ;2011; 186113000000.0;20147528; 1914770000.0;10936000; 171753;2295000000;2018000000;7611000;-1; 1.029
Romania        ;2012; 171662000000.0;20058035; 1979020000.0;11149000; 172011;2109000000;1901000000;7937000;30.1; 1.153
Romania        ;2013; 191560000000.0;19983693; 2017940000.0;11364000; 173742;2176000000;2048000000;8019000;29.5; 1.053
Romania        ;2014; 199374000000.0;19908979; 2194670000.0;12299000; 182739;2636000000;2225000000;8442000;30.7; 1.101
Romania        ;2015; 177956000000.0;19832389; 2318890000.0;-1; 189769;-1;-1;-1;-1; 1.303
Romania        ;2016; 186514000000.0;-1; 2387030000.0;-1; 189161;-1;-1;-1;-1; 1.28
Slovakia       ;2000; 20691000000.0;5388720; 714536000.0;-1; 30414;341000000;441000000;-1;-1; 3.453
Slovakia       ;2001; 21387000000.0;5378867; 906223000.0;-1; 37804;340000000;649000000;-1;-1; 4.237
Slovakia       ;2002; 24854000000.0;5376912; 1009450000.0;-1; 40571;506000000;742000000;-1;-1; 4.062
Slovakia       ;2003; 34023000000.0;5373374; 975232000.0;-1; 38310;662000000;876000000;5660000;-1; 2.866
Slovakia       ;2004; 43121000000.0;5372280; 913362000.0;-1; 34437;900000000;931000000;5719000;-1; 2.118
Slovakia       ;2005; 48887000000.0;5372807; 1090770000.0;2987000; 39727;1122000000;1282000000;6184000;-1; 2.231
Slovakia       ;2006; 57233000000.0;5373054; 1298950000.0;3149000; 45834;1230000000;1655000000;6579000;-1; 2.27
Slovakia       ;2007; 76897000000.0;5374622; 1659490000.0;3603000; 55084;1825000000;2352000000;7269000;-1; 2.158
Slovakia       ;2008; 96790000000.0;5379233; 1927300000.0;3683000; 62951;2596000000;3004000000;6643000;-1; 1.991
Slovakia       ;2009; 88886000000.0;5386406; 1909210000.0;3230000; 63260;2249000000;2539000000;5298000;-1; 2.148
Slovakia       ;2010; 89416000000.0;5391428; 1811670000.0;2692000; 56669;2146000000;2335000000;5415000;-1; 2.026
Slovakia       ;2011; 98015000000.0;5398384; 1753740000.0;3285000; 54159;2449000000;2514000000;5961000;-1; 1.789
Slovakia       ;2012; 93101000000.0;5407579; 1762880000.0;2689000; 52893;2307000000;2365000000;6235000;26.8; 1.894
Slovakia       ;2013; 98064000000.0;5413393; 1856490000.0;2129000; 55628;2367000000;2556000000;-1;27.8; 1.893
Slovakia       ;2014; 100406000000.0;5418649; 1907530000.0;-1; 55646;2622000000;2619000000;-1;27.2; 1.9
Slovakia       ;2015; 86629000000.0;5424050; 2034620000.0;-1; 58876;-1;-1;-1;-1; 2.349
Slovakia       ;2016; 90263000000.0;-1; 2144250000.0;-1; 60654;-1;-1;-1;-1; 2.376
Slovenia       ;2000; 20446000000.0;1988925; 1060200000.0;1965000; 27881;544000000;1016000000;1090000;-1; 5.185
Slovenia       ;2001; 20900000000.0;1992060; 1136620000.0;2055000; 29464;560000000;1059000000;1219000;-1; 5.438
Slovenia       ;2002; 23603000000.0;1994530; 1148710000.0;2127000; 29091;647000000;1152000000;1302000;-1; 4.867
Slovenia       ;2003; 29738000000.0;1995733; 1118160000.0;2114000; 27507;805000000;1427000000;1373000;-1; 3.76
Slovenia       ;2004; 34504000000.0;1997012; 1168590000.0;2800000; 28144;937000000;1725000000;1499000;-1; 3.387
Slovenia       ;2005; 36401000000.0;2000474; 1236460000.0;2660000; 29671;1019000000;1894000000;1555000;-1; 3.397
Slovenia       ;2006; 39621000000.0;2006868; 1300850000.0;2680000; 30075;1058000000;2074000000;1617000;-1; 3.283
Slovenia       ;2007; 48167000000.0;2018122; 1333790000.0;2496000; 30210;1261000000;2465000000;1751000;-1; 2.769
Slovenia       ;2008; 55853000000.0;2021316; 1389030000.0;2459000; 31696;1610000000;2954000000;1958000;-1; 2.487
Slovenia       ;2009; 50372000000.0;2039669; 1336870000.0;2586000; 32075;1456000000;2735000000;1824000;-1; 2.654
Slovenia       ;2010; 48103000000.0;2048583; 1357800000.0;2874000; 31372;1377000000;2721000000;1869000;-1; 2.823
Slovenia       ;2011; 51338000000.0;2052843; 1415250000.0;2722000; 31876;1315000000;2953000000;2037000;-1; 2.757
Slovenia       ;2012; 46284000000.0;2057159; 1382290000.0;2474000; 31417;1081000000;2737000000;2156000;42.6; 2.987
Slovenia       ;2013; 47704000000.0;2059953; 1405880000.0;2612000; 31008;1064000000;2895000000;2259000;42.3; 2.947
Slovenia       ;2014; 49609000000.0;2061980; 1398930000.0;2642000; 30439;1132000000;2939000000;2411000;42.8; 2.82
Slovenia       ;2015; 42798000000.0;2063768; 1509410000.0;-1; 32382;-1;-1;-1;-1; 3.527
Slovenia       ;2016; 44122000000.0;-1; 1539570000.0;-1; 32620;-1;-1;-1;-1; 3.489
Spain          ;2000; 597149000000.0;40263216; 59754100000.0;4100000; 904154;7710000000;32656000000;46403000;-1; 10.007
Spain          ;2001; 626514000000.0;40756001; 61304200000.0;4139000; 918902;8466000000;33829000000;48565000;-1; 9.785
Spain          ;2002; 707642000000.0;41431558; 59973900000.0;3871000; 883180;9366000000;35468000000;50331000;-1; 8.475
Spain          ;2003; 908588000000.0;42187645; 59814600000.0;4094000; 905107;11330000000;43863000000;50854000;-1; 6.583
Spain          ;2004; 1071007000000.0;42921895; 61734200000.0;5121000; 953009;14864000000;49996000000;52430000;-1; 5.764
Spain          ;2005; 1159257000000.0;43653155; 64722900000.0;10464000; 1032100;15175000000;49565000000;55914000;-1; 5.583
Spain          ;2006; 1265661000000.0;44397319; 66577100000.0;10678000; 1072150;16824000000;53160000000;58004000;-1; 5.26
Spain          ;2007; 1481393000000.0;45226803; 68496800000.0;11276000; 1114760;19870000000;59910000000;58666000;-1; 4.624
Spain          ;2008; 1642738000000.0;45954106; 69317700000.0;11229000; 1020320;20540000000;64422000000;57192000;-1; 4.22
Spain          ;2009; 1502876000000.0;46362946; 61416200000.0;12017000; 879191;17133000000;55748000000;52178000;-1; 4.087
Spain          ;2010; 1434257000000.0;46576897; 62392800000.0;12379000; 864317;16930000000;54305000000;52677000;-1; 4.35
Spain          ;2011; 1489381000000.0;46742697; 64912400000.0;13347000; 867972;17375000000;62447000000;56177000;-1; 4.358
Spain          ;2012; 1340689000000.0;46773055; 63884800000.0;12422000; 859452;15401000000;57877000000;57464000;53; 4.765
Spain          ;2013; 1369690000000.0;46620045; 64398300000.0;11246000; 855407;16434000000;62584000000;60675000;54.1; 4.702
Spain          ;2014; 1383537000000.0;46480882; 66395900000.0;11783000; 898256;17969000000;65100000000;64995000;55.7; 4.799
Spain          ;2015; 1199715000000.0;46418269; 68843900000.0;-1; 937262;-1;-1;-1;-1; 5.738
Spain          ;2016; 1252163000000.0;-1; 71156700000.0;-1; 961276;-1;-1;-1;-1; 5.683
Sweden         ;2000; 259839000000.0;8872109; 7456830000.0;10147000; 123858;8959000000;4825000000;3828000;-1; 2.87
Sweden         ;2001; 239957000000.0;8895960; 8248160000.0;10741000; 139233;7916000000;5200000000;4108000;-1; 3.437
Sweden         ;2002; 263940000000.0;8924958; 8570530000.0;12888000; 137141;8221000000;5671000000;4276000;-1; 3.247
Sweden         ;2003; 331109000000.0;8958229; 8292640000.0;12649000; 127527;9375000000;6548000000;4268000;-1; 2.505
Sweden         ;2004; 381743000000.0;8993531; 8549190000.0;13950000; 128533;11088000000;7686000000;4676000;-1; 2.24
Sweden         ;2005; 389043000000.0;9029572; 9060310000.0;15677000; 133461;11380000000;7739000000;4883000;-1; 2.329
Sweden         ;2006; 420017000000.0;9080505; 10119800000.0;12559000; 146415;11685000000;10016000000;4729000;-1; 2.409
Sweden         ;2007; 487818000000.0;9148092; 10323200000.0;12692000; 151990;14336000000;12259000000;5224000;-1; 2.116
Sweden         ;2008; 513966000000.0;9219637; 10248300000.0;13291000; 154992;15447000000;12060000000;4555000;-1; 1.994
Sweden         ;2009; 429656000000.0;9298515; 10094300000.0;11699000; 161937;12791000000;10100000000;4899000;-1; 2.349
Sweden         ;2010; 488378000000.0;9378126; 10252600000.0;13042000; 163217;14912000000;10991000000;5183000;-1; 2.099
Sweden         ;2011; 563110000000.0;9449213; 10402800000.0;14651000; 161025;15446000000;10581000000;5222000;-1; 1.847
Sweden         ;2012; 543881000000.0;9519374; 10307300000.0;15548000; 157634;15628000000;10608000000;5146000;37.8; 1.895
Sweden         ;2013; 578742000000.0;9600379; 10738100000.0;15917000; 164232;17620000000;11535000000;5229000;38.3; 1.855
Sweden         ;2014; 571101000000.0;9696110; 11365800000.0;-1; 172031;18520000000;12696000000;5660000;39.8; 1.99
Sweden         ;2015; 493042000000.0;9798871; 12147000000.0;-1; 179767;-1;-1;-1;-1; 2.464
Sweden         ;2016; 517440000000.0;-1; 12798200000.0;-1; 184134;-1;-1;-1;-1; 2.473
United Kingdom ;2000; 1638702000000.0;58892514; 114517000000.0;56837000; 1699230;47009000000;29978000000;23212000;-1; 6.988
United Kingdom ;2001; 1613588000000.0;59119673; 108693000000.0;58281000; 1679460;46410000000;26137000000;20982000;-1; 6.736
United Kingdom ;2002; 1760454000000.0;59370479; 102431000000.0;59377000; 1563850;51125000000;27819000000;22307000;-1; 5.818
United Kingdom ;2003; 2030626000000.0;59647577; 97427100000.0;61424000; 1462880;58627000000;30736000000;22787000;-1; 4.798
United Kingdom ;2004; 2390268000000.0;59987905; 94540100000.0;64194000; 1396230;69076000000;37166000000;25678000;-1; 3.955
United Kingdom ;2005; 2511165000000.0;60401206; 91688700000.0;66494000; 1377020;74413000000;39647000000;28039000;-1; 3.651
United Kingdom ;2006; 2682213000000.0;60846820; 91332600000.0;69536000; 1494890;79389000000;44287000000;30654000;-1; 3.405
United Kingdom ;2007; 3064351000000.0;61322463; 91483800000.0;69450000; 1536880;89468000000;48566000000;30870000;-1; 2.985
United Kingdom ;2008; 2898941000000.0;61806995; 87439700000.0;69011000; 1507620;88448000000;46323000000;30142000;-1; 3.016
United Kingdom ;2009; 2377160000000.0;62276270; 83612100000.0;58614000; 1415630;66038000000;37325000000;28199000;-1; 3.517
United Kingdom ;2010; 2431169000000.0;62766365; 82389500000.0;55562000; 1358350;66658000000;40216000000;28295000;-1; 3.389
United Kingdom ;2011; 2611108000000.0;63258918; 89464100000.0;56836000; 1450360;70300000000;44864000000;29306000;-1; 3.426
United Kingdom ;2012; 2655458000000.0;63700300; 93165500000.0;56538000; 1604240;71417000000;47052000000;29282000;48.1; 3.508
United Kingdom ;2013; 2721489000000.0;64128226; 97512700000.0;57792000; 1715250;73339000000;53522000000;31063000;50; 3.583
United Kingdom ;2014; 3002394000000.0;64613160; 101245000000.0;60082000; 1761510;79935000000;62830000000;32613000;-1; 3.372
United Kingdom ;2015; 2858482000000.0;65138232; 103740000000.0;-1; 1791220;-1;-1;-1;-1; 3.629
United Kingdom ;2016; 2649893000000.0;-1; 107679000000.0;-1; 1831990;-1;-1;-1;-1; 4.064
